STATE/UT,Year,CAUSE,Male,Female,Total,Hour,Time_Category,Speed,Speed_Limit,Road_Condition,Weather
ANDHRA PRADESH,2001,Truck/Lorry (Government),103,26,129,6,Morning,45,40,Damaged,Windy
ANDHRA PRADESH,2001,Truck/Lorry (Private),2171,414,2585,19,Evening,59,40,Dry,Windy
ANDHRA PRADESH,2001,Bus (Government),488,119,607,14,Afternoon,53,60,Gravel,Windy
ANDHRA PRADESH,2001,Bus (Private),289,76,365,10,Morning,36,40,Snow,Rainy
ANDHRA PRADESH,2001,Tempo/Vans (Government),13,3,16,7,Morning,41,80,Gravel,Windy
ANDHRA PRADESH,2001,Tempo/Vans (Private),310,70,380,20,Evening,48,40,Gravel,Fog
ANDHRA PRADESH,2001,Jeep (Government),31,9,40,6,Morning,31,60,Dry,Fog
ANDHRA PRADESH,2001,Jeep (Private),473,111,584,18,Evening,46,40,Dry,Cloudy
ANDHRA PRADESH,2001,Car (Government),18,0,18,22,Night,54,40,Damaged,Fog
ANDHRA PRADESH,2001,Car (Private),426,125,551,10,Morning,30,40,Damaged,Fog
ANDHRA PRADESH,2001,Three Wheeler,473,138,611,10,Morning,46,60,Dry,Rainy
ANDHRA PRADESH,2001,Two Wheeler,775,94,869,23,Night,34,80,Dry,Fog
ANDHRA PRADESH,2001,Bicycle,169,12,181,20,Evening,60,80,Dry,Clear
ANDHRA PRADESH,2001,Pedestrian,307,67,374,3,Night,52,60,Snow,Fog
ANDHRA PRADESH,2001,Others (Please Specify),901,163,1064,7,Morning,51,60,Gravel,Cloudy
ANDHRA PRADESH,2001,Total Deaths (Persons),6947,1427,8374,23,Night,52,40,Damaged,Cloudy
ANDHRA PRADESH,2001,Total Truck/Lorry,2274,440,2714,2,Night,52,80,Damaged,Windy
ANDHRA PRADESH,2001,Total Bus,777,195,972,21,Night,55,60,Wet,Rainy
ANDHRA PRADESH,2001,Total Tempo/Vans,323,73,396,20,Evening,42,80,Snow,Cloudy
ANDHRA PRADESH,2001,Total Jeep,504,120,624,1,Night,75,40,Dry,Clear
ANDHRA PRADESH,2001,Total Car,444,125,569,23,Night,77,60,Dry,Clear
ANDHRA PRADESH,2002,Truck/Lorry (Government),42,8,50,11,Morning,41,80,Snow,Windy
ANDHRA PRADESH,2002,Truck/Lorry (Private),2664,425,3089,5,Morning,53,80,Damaged,Rainy
ANDHRA PRADESH,2002,Bus (Government),595,146,741,1,Night,47,40,Dry,Rainy
ANDHRA PRADESH,2002,Bus (Private),294,67,361,20,Evening,49,60,Wet,Fog
ANDHRA PRADESH,2002,Tempo/Vans (Government),35,11,46,0,Night,59,80,Damaged,Clear
ANDHRA PRADESH,2002,Tempo/Vans (Private),413,58,471,11,Morning,47,40,Gravel,Clear
ANDHRA PRADESH,2002,Jeep (Government),34,1,35,21,Night,77,80,Snow,Clear
ANDHRA PRADESH,2002,Jeep (Private),416,97,513,11,Morning,62,40,Damaged,Clear
ANDHRA PRADESH,2002,Car (Government),23,4,27,16,Afternoon,40,80,Gravel,Cloudy
ANDHRA PRADESH,2002,Car (Private),341,101,442,9,Morning,37,80,Wet,Rainy
ANDHRA PRADESH,2002,Three Wheeler,724,188,912,15,Afternoon,44,40,Snow,Fog
ANDHRA PRADESH,2002,Two Wheeler,871,138,1009,14,Afternoon,61,60,Dry,Cloudy
